epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,383.012,1.03942,4.23686,1.46807,0.03251,0.86355,0.15397,0.11253,0.75353,4.42629,1.23882,0.000109832,0.000109832,0.000109832
2,796.417,0.89619,3.46899,1.36931,0.34362,0.52723,0.34116,0.25697,0.90594,3.7083,1.36508,0.000216459,0.000216459,0.000216459
3,1198.16,0.9017,3.0214,1.36046,0.42252,0.59433,0.51656,0.38309,0.96816,3.19266,1.36672,0.000318691,0.000318691,0.000318691
4,1572.31,0.86259,2.71598,1.3055,0.63706,0.60652,0.66588,0.52702,0.84899,2.93978,1.30696,0.00031322,0.00031322,0.00031322
5,1963.18,0.84192,2.48558,1.27413,0.73678,0.57949,0.74988,0.57747,0.96884,2.43198,1.3942,0.000306626,0.000306626,0.000306626
6,2380.4,0.83629,2.2255,1.26957,0.6294,0.74235,0.79767,0.65101,0.84273,2.23536,1.31115,0.000300033,0.000300033,0.000300033
7,2800.03,0.80259,2.08542,1.24188,0.6312,0.756,0.78428,0.62117,0.86485,2.23145,1.30737,0.00029344,0.00029344,0.00029344
8,3199.21,0.80092,1.93828,1.24436,0.67552,0.82127,0.86427,0.62904,1.12301,1.96129,1.56213,0.000286846,0.000286846,0.000286846
9,3599.06,0.76627,1.79292,1.21269,0.68964,0.76608,0.85814,0.71829,0.79138,1.91464,1.23685,0.000280253,0.000280253,0.000280253
10,4056.47,0.76499,1.67364,1.20101,0.75604,0.82012,0.88942,0.67591,1.05363,1.7539,1.44715,0.000273659,0.000273659,0.000273659
11,4476.31,0.74552,1.6608,1.19109,0.81102,0.86698,0.91031,0.71453,0.9274,1.53937,1.34189,0.000267066,0.000267066,0.000267066
12,4895.2,0.7446,1.54884,1.18565,0.83762,0.81892,0.88874,0.72059,0.82975,1.55784,1.25423,0.000260473,0.000260473,0.000260473
13,5314.44,0.72177,1.48676,1.1818,0.8692,0.81042,0.9109,0.71913,0.91915,1.45021,1.32432,0.000253879,0.000253879,0.000253879
14,5739.42,0.73211,1.41845,1.17722,0.827,0.82892,0.9188,0.71503,0.97072,1.44597,1.40654,0.000247286,0.000247286,0.000247286
15,6167.39,0.71382,1.38816,1.16637,0.90707,0.85229,0.9491,0.78749,0.78686,1.27108,1.22909,0.000240692,0.000240692,0.000240692
16,6585.9,0.71171,1.33962,1.16163,0.86309,0.8445,0.92571,0.75783,0.81168,1.25127,1.22542,0.000234099,0.000234099,0.000234099
17,7011.05,0.68272,1.2915,1.14902,0.89332,0.81724,0.93562,0.74146,0.92384,1.23547,1.35839,0.000227506,0.000227506,0.000227506
18,7432.81,0.6823,1.24062,1.13226,0.86194,0.89061,0.94833,0.75988,0.90437,1.1558,1.32596,0.000220912,0.000220912,0.000220912
19,7858.6,0.68723,1.20198,1.15244,0.85775,0.88819,0.93574,0.7153,0.98077,1.13862,1.40518,0.000214319,0.000214319,0.000214319
20,8278.39,0.68131,1.17086,1.13506,0.87457,0.85797,0.93323,0.74345,0.90957,1.14204,1.35307,0.000207725,0.000207725,0.000207725
21,8699.38,0.68526,1.14274,1.14357,0.90709,0.8691,0.93974,0.75647,0.85184,1.11257,1.29422,0.000201132,0.000201132,0.000201132
22,9122.93,0.6535,1.09916,1.12404,0.92047,0.87225,0.95803,0.78274,0.84364,1.00881,1.27294,0.000194539,0.000194539,0.000194539
23,9545.81,0.66266,1.0776,1.12372,0.86742,0.90399,0.9597,0.74809,0.92471,0.98498,1.34661,0.000187945,0.000187945,0.000187945
24,9971.66,0.66522,1.05725,1.13511,0.88337,0.88835,0.9448,0.73427,0.96042,1.01122,1.40042,0.000181352,0.000181352,0.000181352
25,10400.8,0.64942,1.02458,1.1134,0.92642,0.87329,0.9634,0.76493,0.91576,0.95538,1.32515,0.000174758,0.000174758,0.000174758
26,10830,0.65334,1.00133,1.11861,0.87055,0.90194,0.95417,0.75972,0.89135,0.9974,1.33824,0.000168165,0.000168165,0.000168165
27,11258.6,0.63992,0.97326,1.10753,0.85896,0.89637,0.94925,0.7412,0.95216,1.01596,1.35984,0.000161572,0.000161572,0.000161572
28,11687.3,0.65351,0.99589,1.11535,0.90607,0.91552,0.9577,0.74594,0.95563,0.9409,1.38276,0.000154978,0.000154978,0.000154978
29,12118.8,0.64098,0.95734,1.11721,0.92493,0.87006,0.94932,0.77678,0.82687,0.91279,1.25217,0.000148385,0.000148385,0.000148385
30,12549.8,0.62791,0.92801,1.09781,0.87964,0.90324,0.95365,0.77099,0.84044,0.89476,1.26699,0.000141791,0.000141791,0.000141791
31,12979.6,0.62171,0.90439,1.10039,0.88633,0.88803,0.94902,0.7691,0.82916,0.91337,1.24682,0.000135198,0.000135198,0.000135198
32,13411.7,0.61289,0.89907,1.09346,0.91448,0.86945,0.95112,0.79054,0.79057,0.88797,1.22002,0.000128605,0.000128605,0.000128605
33,13844.5,0.60574,0.87624,1.08281,0.91829,0.90081,0.96232,0.76247,0.90429,0.87006,1.31781,0.000122011,0.000122011,0.000122011
34,14282.6,0.61164,0.85348,1.09692,0.88301,0.91501,0.95678,0.79073,0.77163,0.8207,1.1949,0.000115418,0.000115418,0.000115418
35,14716.5,0.59553,0.82975,1.08819,0.90348,0.89764,0.96064,0.75341,0.93801,0.88261,1.35814,0.000108824,0.000108824,0.000108824
